10013904,56030019,2017-02-13 18:08:48 UTC,fork,1,10
10013904,56044088,2017-02-13 23:06:13 UTC,fork,2,10
10013904,58621216,2017-03-05 16:16:58 UTC,fork,3,10
10013904,58639826,2017-03-23 21:00:22 UTC,fork,4,10
10013904,57414261,2017-03-27 20:22:56 UTC,fork,5,10
10013904,60384716,2017-05-01 04:10:25 UTC,fork,6,10
10013904,60058077,2017-05-06 05:16:30 UTC,fork,7,10
10013904,62244829,2017-05-16 17:07:34 UTC,fork,8,10
10013904,64713531,2017-06-13 17:29:25 UTC,fork,9,10
1020260,60377505,2017-03-27 04:41:26 UTC,star,1,12
1020260,60889889,2017-03-30 04:25:44 UTC,star,2,12
1020260,61091932,2017-04-02 03:33:19 UTC,star,3,12
1020260,62874440,2017-04-23 14:41:12 UTC,star,4,12
